items,support
"AcadPressure_High, CGPA_Mid, FamilyHistory_No",0.0787
"CGPA_High, Sleep_5-6h",0.0785
"CGPA_Mid, Sleep_>8h",0.0785
"CGPA_High, Sleep_5-6h, nan",0.0785
"CGPA_High, Sleep_5-6h, WorkPressure_Low",0.0785
"FinStress_Low, StudySat_Moderate",0.0785
"StudyHrs_Moderate, StudySat_High",0.0779
"FinStress_Moderate, StudySat_Low",0.0779
"Sleep_<5h, StudyHrs_Low",0.0778
"AcadPressure_High, CGPA_Mid, FinStress_High",0.0776
"CGPA_Mid, StudySat_Moderate",0.0776
"AcadPressure_Low, StudySat_High, Suicidal_No",0.0775
"Age_26-30, StudyHrs_Low",0.0775
"Age_>30, Depression_Yes, Suicidal_Yes",0.0774
"AcadPressure_Low, Sleep_>8h",0.0773
"AcadPressure_High, Age_>30",0.0772
"AcadPressure_Moderate, Sleep_<5h",0.0772
"Depression_No, FinStress_Moderate",0.0769
"CGPA_High, FamilyHistory_No, StudySat_Low",0.0768
"AcadPressure_Low, StudyHrs_High, Suicidal_No",0.0768
"AcadPressure_High, FinStress_Moderate, nan",0.0767
"AcadPressure_High, FinStress_Moderate",0.0767
"AcadPressure_High, FinStress_Moderate, WorkPressure_Low",0.0767
"AcadPressure_Moderate, Sleep_7-8h",0.0766
"CGPA_Low, StudyHrs_Low",0.0758
"Age_<=21, Sleep_<5h",0.0757
"AcadPressure_High, Depression_No",0.0755
"AcadPressure_High, Depression_No, WorkPressure_Low",0.0755
"AcadPressure_High, Depression_No, nan",0.0755
"CGPA_High, FamilyHistory_No, Gender_Female",0.0754
"StudySat_Moderate, Suicidal_No",0.0754
"Age_>30, CGPA_High",0.0751
"AcadPressure_Low, StudySat_Moderate",0.075
"AcadPressure_Moderate, CGPA_Low",0.0748
"AcadPressure_Moderate, Age_26-30",0.0745
"AcadPressure_High, Age_22-25, Suicidal_Yes",0.0743
"FinStress_Low, StudyHrs_Moderate",0.0742
"AcadPressure_High, CGPA_Mid, FamilyHistory_Yes",0.074
"CGPA_Low, Sleep_7-8h",0.0737
"AcadPressure_High, StudyHrs_High, StudySat_High",0.0737
"StudyHrs_Moderate, Suicidal_No",0.0736
"Age_<=21, Depression_No",0.0733
"CGPA_High, Sleep_>8h",0.0732
"AcadPressure_High, Sleep_<5h, StudyHrs_High",0.0732
"Gender_Female, StudySat_High, Suicidal_No",0.0728
"CGPA_Mid, StudyHrs_Moderate",0.0728
"Age_26-30, Sleep_7-8h",0.0727
"Age_22-25, Sleep_<5h",0.0725
"AcadPressure_Low, Sleep_5-6h",0.0724
"AcadPressure_Moderate, FinStress_High, StudyHrs_High",0.0723
"AcadPressure_Low, FamilyHistory_Yes, StudyHrs_High",0.072
"Age_<=21, CGPA_Low",0.0716
"AcadPressure_High, CGPA_Mid, StudySat_Low",0.0716
"AcadPressure_High, Depression_Yes, Sleep_5-6h",0.0716
"CGPA_High, StudySat_Moderate",0.0708
"AcadPressure_Moderate, StudyHrs_Low",0.0704
"AcadPressure_Moderate, Age_<=21",0.0696
"CGPA_Mid, FinStress_Moderate",0.0694
"Gender_Female, Sleep_<5h, StudyHrs_High",0.0688
"AcadPressure_High, CGPA_Mid, Gender_Female",0.0685
"FinStress_Moderate, StudySat_High",0.0683
"Age_<=21, Sleep_7-8h",0.0683
"Age_22-25, FinStress_High, StudyHrs_High",0.0683
"AcadPressure_High, Depression_Yes, StudyHrs_Low",0.0681
"Sleep_7-8h, StudyHrs_Low",0.068
"AcadPressure_High, FinStress_Low, StudyHrs_High",0.0678
"AcadPressure_Low, Age_<=21",0.0678
"AcadPressure_High, Depression_Yes, StudyHrs_Moderate",0.0676
"Depression_Yes, FinStress_High, StudySat_Moderate",0.0675
"AcadPressure_High, FamilyHistory_No, StudySat_High",0.0673
"FinStress_Moderate, Suicidal_No",0.0673
"CGPA_High, StudyHrs_Moderate",0.0671
"AcadPressure_High, FinStress_High, Sleep_<5h",0.0671
"AcadPressure_Low, StudyHrs_High, StudySat_High",0.067
"AcadPressure_High, StudyHrs_Low, Suicidal_Yes",0.0669
"Age_22-25, CGPA_Low",0.0667
"AcadPressure_High, FamilyHistory_Yes, StudySat_High",0.0667
"AcadPressure_High, Sleep_5-6h, Suicidal_Yes",0.0664
"AcadPressure_High, FamilyHistory_No, FinStress_Low",0.0662
"AcadPressure_High, CGPA_Low, StudyHrs_High",0.0662
"AcadPressure_High, FamilyHistory_Yes, Sleep_<5h",0.0661
"AcadPressure_High, FinStress_High, StudySat_High",0.0661
"AcadPressure_High, Depression_Yes, StudySat_Moderate",0.0661
"AcadPressure_High, Age_26-30, StudyHrs_High",0.0659
"AcadPressure_Low, FamilyHistory_Yes, StudySat_High",0.0658
"AcadPressure_High, Depression_Yes, Sleep_>8h",0.0654
"AcadPressure_High, Age_<=21, StudyHrs_High",0.0651
"Age_22-25, Sleep_7-8h",0.0651
"Age_22-25, StudyHrs_Low",0.0651
"CGPA_High, FamilyHistory_No, FinStress_Low",0.0651
"CGPA_Low, Sleep_>8h",0.0649
"AcadPressure_Low, CGPA_Mid, Suicidal_No",0.0649
"AcadPressure_Low, Age_26-30, Depression_No",0.0646
"Sleep_>8h, StudyHrs_Low",0.0646
"AcadPressure_High, FamilyHistory_No, Sleep_<5h",0.0644
"AcadPressure_Low, StudyHrs_Moderate",0.0642
"CGPA_High, Gender_Female, StudySat_Low",0.0642
"CGPA_High, FinStress_Moderate",0.064
"Age_26-30, Sleep_5-6h",0.0639
"CGPA_High, FinStress_Low, Suicidal_Yes",0.0638
"Age_>30, Sleep_<5h",0.0638
"AcadPressure_Moderate, Age_22-25",0.0638
"AcadPressure_High, Depression_Yes, FinStress_Moderate",0.0637
"Age_<=21, StudyHrs_Low",0.0636
"Age_>30, StudyHrs_Low",0.0635
"Age_>30, StudyHrs_Low, nan",0.0635
"Age_>30, StudyHrs_Low, WorkPressure_Low",0.0634
"AcadPressure_High, Gender_Female, StudySat_High",0.0632
"CGPA_High, Depression_No, StudySat_High",0.063
"CGPA_High, Depression_No, FamilyHistory_Yes",0.0628
"AcadPressure_High, Sleep_<5h, StudySat_Low",0.0628
"AcadPressure_High, StudySat_Moderate, Suicidal_Yes",0.0625
"AcadPressure_High, Age_<=21, FinStress_High",0.0623
"FamilyHistory_No, FinStress_High, Sleep_7-8h",0.0623
"Age_>30, CGPA_Low",0.0621
"AcadPressure_High, StudyHrs_Moderate, Suicidal_Yes",0.0621
"Age_>30, CGPA_Low, nan",0.0621
"Age_>30, CGPA_Low, WorkPressure_Low",0.0621
"AcadPressure_Low, Depression_No, FinStress_High",0.0619
"CGPA_Mid, Sleep_<5h, StudyHrs_High",0.0615
"AcadPressure_High, Sleep_7-8h, StudyHrs_High",0.0613
"AcadPressure_High, FamilyHistory_Yes, FinStress_Low",0.0612
"Age_>30, Depression_No, StudySat_High",0.0611
"AcadPressure_Low, FinStress_Moderate",0.0609
"Age_26-30, StudySat_Moderate",0.0608
"Age_22-25, Depression_No, Suicidal_No",0.0608
"AcadPressure_High, Sleep_>8h, Suicidal_Yes",0.0608
"AcadPressure_Low, Depression_No, Sleep_>8h",0.0607
"Age_>30, FamilyHistory_No, Suicidal_Yes",0.0606
"Age_>30, Depression_No, FamilyHistory_Yes",0.0606
"AcadPressure_High, CGPA_Low, FamilyHistory_Yes",0.0605
"AcadPressure_Low, FinStress_High, StudyHrs_High",0.0605
"AcadPressure_High, Age_26-30, FamilyHistory_No",0.0604
"AcadPressure_Low, Depression_No, Sleep_<5h",0.0603
"CGPA_Low, StudySat_Moderate",0.0602
"AcadPressure_High, Age_26-30, StudySat_Low",0.0599
"Sleep_<5h, StudyHrs_Moderate",0.0598
"CGPA_High, FamilyHistory_Yes, StudySat_High",0.0597
"AcadPressure_Moderate, Age_>30",0.0595
"Sleep_<5h, StudySat_Moderate",0.0594
"AcadPressure_Low, CGPA_Mid, StudyHrs_High",0.0594
"AcadPressure_High, Age_<=21, FamilyHistory_Yes",0.0593
"CGPA_Low, Depression_No, StudySat_High",0.0593
"AcadPressure_High, FinStress_Moderate, Suicidal_Yes",0.0593
"Sleep_5-6h, StudyHrs_Low",0.059
"CGPA_Low, Sleep_5-6h",0.0589
"AcadPressure_High, CGPA_Low, FinStress_High",0.0589
"CGPA_Low, StudyHrs_Moderate",0.0588
"AcadPressure_High, Age_26-30, FamilyHistory_Yes",0.0587
"AcadPressure_Moderate, Sleep_5-6h",0.0587
"Age_26-30, Sleep_>8h",0.0586
"FamilyHistory_Yes, FinStress_High, Sleep_7-8h",0.0585
"AcadPressure_High, CGPA_Low, FamilyHistory_No",0.0584
"AcadPressure_High, FinStress_Low, Gender_Female",0.0584
"CGPA_High, FamilyHistory_Yes, Suicidal_No",0.0583
"AcadPressure_Low, Depression_No, Sleep_7-8h",0.0582
"AcadPressure_High, Age_<=21, FamilyHistory_No",0.0581
"AcadPressure_High, Gender_Female, Sleep_<5h",0.0578
"AcadPressure_High, Age_26-30, FinStress_High",0.0578
"Sleep_7-8h, StudySat_Moderate",0.0575
"Age_>30, Sleep_7-8h",0.0572
"Age_26-30, StudyHrs_Moderate",0.0572
"AcadPressure_High, FinStress_Low, StudySat_Low",0.057
"AcadPressure_Low, CGPA_Mid, FamilyHistory_Yes",0.057
"AcadPressure_High, CGPA_Low, Gender_Female",0.057
"StudyHrs_Low, StudySat_High, Suicidal_No",0.0568
"Age_<=21, Sleep_>8h",0.0565
"AcadPressure_High, Age_22-25, StudyHrs_High",0.0564
"Gender_Male, StudyHrs_Low, StudySat_Low",0.0559
"StudyHrs_Low, StudySat_Moderate",0.0552
"AcadPressure_Moderate, Sleep_>8h",0.0548
"AcadPressure_High, FamilyHistory_No, Sleep_7-8h",0.0547
"Age_<=21, StudyHrs_Moderate",0.0546
"CGPA_Low, FamilyHistory_Yes, StudySat_High",0.0544
"CGPA_High, Sleep_<5h, StudyHrs_High",0.0544
"AcadPressure_High, Age_26-30, Gender_Female",0.0543
"Age_<=21, Sleep_5-6h",0.0542
"AcadPressure_Low, FamilyHistory_Yes, FinStress_High",0.054
"CGPA_Low, Depression_No, FamilyHistory_Yes",0.054
"CGPA_High, FinStress_Low, Gender_Female",0.0539
"FinStress_Moderate, Sleep_<5h",0.0538
"Age_22-25, Sleep_5-6h",0.0538
"CGPA_Low, FinStress_Moderate",0.0538
"Age_22-25, Sleep_>8h",0.0538
"FinStress_Low, Sleep_<5h, StudyHrs_High",0.0537
"AcadPressure_High, Age_<=21, Gender_Female",0.0536
"AcadPressure_Low, Depression_No, StudySat_Moderate",0.0535
"AcadPressure_Low, CGPA_Mid, StudySat_High",0.0534
"AcadPressure_High, FamilyHistory_No, Suicidal_No",0.0534
"AcadPressure_High, CGPA_Low, StudySat_Low",0.0533
"AcadPressure_High, FinStress_High, Sleep_7-8h",0.0533
"AcadPressure_Moderate, StudySat_Moderate",0.0533
"Age_26-30, FinStress_Moderate",0.0528
"AcadPressure_High, Age_<=21, StudySat_Low",0.0523
"CGPA_High, StudySat_High, Suicidal_No",0.0522
"CGPA_High, StudyHrs_Low, Suicidal_Yes",0.0521
"Sleep_7-8h, StudyHrs_Moderate",0.0521
"AcadPressure_High, Sleep_5-6h, StudyHrs_High",0.052
"AcadPressure_Moderate, StudyHrs_Moderate",0.0514
"Age_>30, Gender_Female, Suicidal_Yes",0.0514
"AcadPressure_High, Age_22-25, FinStress_High",0.0511
"AcadPressure_High, CGPA_Mid, StudySat_High",0.0509
"AcadPressure_High, Depression_Yes, Suicidal_No",0.0506
"AcadPressure_High, StudyHrs_High, Suicidal_No",0.0505
"AcadPressure_High, Depression_No, Suicidal_No",0.0504
